"WorkOrderID","ProductID","OperationSequence","LocationID","ScheduledStartDate","ScheduledEndDate","ActualStartDate","ActualEndDate","ActualResourceHrs","PlannedCost","ActualCost","ModifiedDate"
"55611","823","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55612","824","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55613","826","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55614","827","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55615","828","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55616","829","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55623","894","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55629","945","1","10","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","4.1000","92.2500","92.2500","2014-01-04 23:00:00"
"55629","945","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55630","946","1","10","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","4.1000","92.2500","92.2500","2014-01-04 23:00:00"
"55630","946","2","20","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.5000","87.5000","87.5000","2014-01-04 23:00:00"
"55630","946","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55631","947","1","10","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","4.1000","92.2500","92.2500","2014-01-04 23:00:00"
"55631","947","2","20","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.5000","87.5000","87.5000","2014-01-04 23:00:00"
"55631","947","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55632","949","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55633","950","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55634","951","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55635","994","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55636","995","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55637","996","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
"55652","802","1","10","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","4.1000","92.2500","92.2500","2014-01-04 23:00:00"
"55652","802","6","50","2013-12-22 00:00:00","2014-01-02 00:00:00","2014-01-04 00:00:00","2014-01-05 00:00:00","3.0000","36.7500","36.7500","2014-01-04 23:00:00"
